,ngram,age,lookup_index,child,length
264,"('NOUN', 'NOUN', 'NOUN')",1.9,91,Alex (Providence),3
265,"('NOUN', 'NOUN', 'NOUN')",1.9,91,Alex (Providence),3
266,"('NOUN', 'NOUN', 'NOUN')",1.9,91,Alex (Providence),3
267,"('NOUN', 'NOUN', 'NOUN')",1.9,91,Alex (Providence),3
268,"('NOUN', 'NOUN', 'NOUN')",1.9,91,Alex (Providence),3
269,"('NOUN', 'NOUN', 'NOUN')",1.9,91,Alex (Providence),3
270,"('NOUN', 'NOUN', 'NOUN', 'NOUN')",1.9,91,Alex (Providence),4
271,"('NOUN', 'NOUN', 'NOUN', 'NOUN')",1.9,91,Alex (Providence),4
272,"('NOUN', 'NOUN', 'NOUN', 'NOUN')",1.9,91,Alex (Providence),4
273,"('NOUN', 'NOUN', 'NOUN', 'NOUN')",1.9,91,Alex (Providence),4
274,"('NOUN', 'NOUN', 'NOUN', 'NOUN')",1.9,91,Alex (Providence),4
275,"('NOUN', 'NOUN', 'NOUN', 'NOUN')",1.9,91,Alex (Providence),4
276,"('NOUN', 'NOUN', 'NOUN', 'NOUN')",1.9,91,Alex (Providence),4
277,"('NOUN', 'NOUN', 'NOUN', 'NOUN')",1.9,91,Alex (Providence),4
278,"('NOUN', 'NOUN', 'NOUN', 'NOUN')",1.9,91,Alex (Providence),4
279,"('NOUN', 'NOUN', 'NOUN', 'NOUN')",1.9,91,Alex (Providence),4
280,"('NOUN', 'NOUN', 'NOUN', 'NOUN')",1.9,91,Alex (Providence),4
281,"('VERB', 'PRON')",2.0,225,Alex (Providence),2
282,"('NOUN', 'NOUN')",2.0,226,Alex (Providence),2
283,"('DET', 'NOUN')",2.0,227,Alex (Providence),2
284,"('PRON', 'AUX')",2.0,228,Alex (Providence),2
285,"('AUX', 'PRON')",2.0,228,Alex (Providence),2
286,"('PRON', 'AUX', 'PRON')",2.0,228,Alex (Providence),3
287,"('DET', 'NOUN')",2.0,229,Alex (Providence),2
288,"('PRON', 'AUX')",2.0,230,Alex (Providence),2
289,"('AUX', 'PRON')",2.0,230,Alex (Providence),2
290,"('PRON', 'AUX', 'PRON')",2.0,230,Alex (Providence),3
291,"('PRON', 'AUX')",2.0,231,Alex (Providence),2
292,"('AUX', 'PRON')",2.0,231,Alex (Providence),2
293,"('PRON', 'AUX', 'PRON')",2.0,231,Alex (Providence),3
294,"('PRON', 'AUX')",2.0,232,Alex (Providence),2
295,"('AUX', 'PRON')",2.0,232,Alex (Providence),2
296,"('PRON', 'AUX', 'PRON')",2.0,232,Alex (Providence),3
297,"('ADJ', 'NOUN')",2.0,233,Alex (Providence),2
298,"('PRON', 'AUX')",2.0,234,Alex (Providence),2
299,"('AUX', 'PRON')",2.0,234,Alex (Providence),2
300,"('PRON', 'AUX', 'PRON')",2.0,234,Alex (Providence),3
301,"('PRON', 'AUX')",2.0,235,Alex (Providence),2
302,"('AUX', 'PRON')",2.0,235,Alex (Providence),2
303,"('PRON', 'AUX', 'PRON')",2.0,235,Alex (Providence),3
304,"('PRON', 'AUX')",2.0,236,Alex (Providence),2
305,"('AUX', 'PRON')",2.0,236,Alex (Providence),2
306,"('PRON', 'AUX', 'PRON')",2.0,236,Alex (Providence),3
307,"('PRON', 'AUX')",2.0,237,Alex (Providence),2
308,"('AUX', 'PRON')",2.0,237,Alex (Providence),2
309,"('PRON', 'AUX', 'PRON')",2.0,237,Alex (Providence),3
310,"('PRON', 'AUX')",2.0,238,Alex (Providence),2
311,"('AUX', 'PRON')",2.0,238,Alex (Providence),2
312,"('PRON', 'AUX', 'PRON')",2.0,238,Alex (Providence),3
313,"('PRON', 'AUX')",2.0,239,Alex (Providence),2
314,"('AUX', 'PRON')",2.0,239,Alex (Providence),2
315,"('PRON', 'AUX', 'PRON')",2.0,239,Alex (Providence),3
316,"('PRON', 'AUX')",2.0,240,Alex (Providence),2
317,"('AUX', 'PRON')",2.0,240,Alex (Providence),2
318,"('PRON', 'AUX', 'PRON')",2.0,240,Alex (Providence),3
319,"('PRON', 'AUX')",2.0,241,Alex (Providence),2
320,"('AUX', 'PRON')",2.0,241,Alex (Providence),2
321,"('PRON', 'AUX', 'PRON')",2.0,241,Alex (Providence),3
322,"('PRON', 'AUX')",2.0,242,Alex (Providence),2
323,"('AUX', 'PRON')",2.0,242,Alex (Providence),2
324,"('PRON', 'AUX', 'PRON')",2.0,242,Alex (Providence),3
325,"('PRON', 'AUX')",2.0,243,Alex (Providence),2
326,"('AUX', 'PRON')",2.0,243,Alex (Providence),2
327,"('PRON', 'AUX', 'PRON')",2.0,243,Alex (Providence),3
328,"('PRON', 'AUX')",2.0,244,Alex (Providence),2
329,"('AUX', 'PRON')",2.0,244,Alex (Providence),2
330,"('PRON', 'AUX', 'PRON')",2.0,244,Alex (Providence),3
331,"('PRON', 'AUX')",2.0,245,Alex (Providence),2
332,"('AUX', 'PRON')",2.0,245,Alex (Providence),2
333,"('PRON', 'AUX', 'PRON')",2.0,245,Alex (Providence),3
334,"('PRON', 'AUX')",2.0,246,Alex (Providence),2
335,"('AUX', 'PRON')",2.0,246,Alex (Providence),2
336,"('PRON', 'AUX', 'PRON')",2.0,246,Alex (Providence),3
337,"('INTJ', 'INTJ')",2.0,247,Alex (Providence),2
338,"('PRON', 'AUX')",2.0,248,Alex (Providence),2
339,"('AUX', 'PRON')",2.0,248,Alex (Providence),2
340,"('PRON', 'AUX', 'PRON')",2.0,248,Alex (Providence),3
341,"('PRON', 'AUX')",2.0,249,Alex (Providence),2
342,"('PROPN', 'PROPN')",2.0,250,Alex (Providence),2
343,"('PRON', 'AUX')",2.0,251,Alex (Providence),2
344,"('AUX', 'ADJ')",2.0,251,Alex (Providence),2
345,"('PRON', 'AUX', 'ADJ')",2.0,251,Alex (Providence),3
346,"('PRON', 'AUX')",2.0,252,Alex (Providence),2
347,"('AUX', 'DET')",2.0,252,Alex (Providence),2
348,"('PRON', 'AUX', 'DET')",2.0,252,Alex (Providence),3
349,"('NOUN', 'NOUN')",2.0,253,Alex (Providence),2
350,"('PRON', 'AUX')",2.0,254,Alex (Providence),2
351,"('AUX', 'PRON')",2.0,254,Alex (Providence),2
352,"('PRON', 'AUX', 'PRON')",2.0,254,Alex (Providence),3
353,"('PRON', 'PRON')",2.0,255,Alex (Providence),2
354,"('PRON', 'PRON')",2.0,256,Alex (Providence),2
355,"('PRON', 'PRON')",2.0,257,Alex (Providence),2
356,"('PRON', 'PRON')",2.0,258,Alex (Providence),2
357,"('PRON', 'PRON')",2.0,259,Alex (Providence),2
358,"('INTJ', 'INTJ')",2.0,260,Alex (Providence),2
359,"('PRON', 'PRON')",2.0,261,Alex (Providence),2
360,"('DET', 'NOUN')",2.0,262,Alex (Providence),2
361,"('PRON', 'PRON')",2.0,263,Alex (Providence),2
362,"('PRON', 'PRON')",2.0,264,Alex (Providence),2
363,"('PRON', 'PRON')",2.0,265,Alex (Providence),2
364,"('PRON', 'PRON')",2.0,266,Alex (Providence),2
365,"('PRON', 'PRON')",2.0,267,Alex (Providence),2
366,"('DET', 'ADJ')",2.0,268,Alex (Providence),2
367,"('PRON', 'PRON')",2.0,269,Alex (Providence),2
368,"('PRON', 'PRON')",2.0,270,Alex (Providence),2
369,"('PRON', 'PRON')",2.0,271,Alex (Providence),2
370,"('PRON', 'PRON')",2.0,272,Alex (Providence),2
371,"('DET', 'NOUN')",2.0,273,Alex (Providence),2
372,"('NOUN', 'NOUN')",2.0,274,Alex (Providence),2
